Location ,Closed Date,Time From,Time To,,,,,,
PAC Main,11-01-2020,18:00,22:00,,,,,,
CIF Arena,17-01-2020,19:00,23:00,,,,,,
PAC Main,18-01-2020,12:00,16:00,,,,,,
CIF Arena,25-01-2020,14:30,18:30,,,,,,
CIF Arena,25-01-2020,19:00,23:00,,,,,,
PAC Main,08-02-2020,12:00,16:00,,,,,,
CIF Arena,08-02-2020,14:30,18:30,,,,,,
PAC Main,15-02-2020,18:00,22:00,,,,,,
PAC Pool,25-04-2020,7:00,23:59,,,,,,
Warrior Zone,25-04-2020,7:00,23:59,,,,,,
PAC Main,25-04-2020,7:00,23:59,,,,,,
PAC Small,25-04-2020,7:00,23:59,,,,,,
PAC Studio 1,25-04-2020,7:00,23:59,,,,,,
CIF Gym 1,25-04-2020,7:00,23:59,,,,,,
CIF Gym 2,25-04-2020,7:00,23:59,,,,,,
CIF Gym 3,25-04-2020,7:00,23:59,,,,,,
Indoor Field A,25-04-2020,7:00,23:59,,,,,,
Indoor Field B,25-04-2020,7:00,23:59,,,,,,
Indoor Field C,25-04-2020,7:00,23:59,,,,,,
CIF Arena,25-04-2020,7:00,23:59,,,,,,
CIF Warrior,25-04-2020,7:00,23:59,,,,,,
CIF Fitness,25-04-2020,7:00,23:59,,,,,,
PAC Pool,26-04-2020,7:00,23:59,,,,,,
Warrior Zone,26-04-2020,7:00,23:59,,,,,,
PAC Main,26-04-2020,7:00,23:59,,,,,,
PAC Small,26-04-2020,7:00,23:59,,,,,,
PAC Studio 1,26-04-2020,7:00,23:59,,,,,,
CIF Gym 1,26-04-2020,7:00,23:59,,,,,,
CIF Gym 2,26-04-2020,7:00,23:59,,,,,,
CIF Gym 3,26-04-2020,7:00,23:59,,,,,,
Indoor Field A,26-04-2020,7:00,23:59,,,,,,
Indoor Field B,26-04-2020,7:00,23:59,,,,,,
Indoor Field C,26-04-2020,7:00,23:59,,,,,,
CIF Arena,26-04-2020,7:00,23:59,,,,,,
CIF Warrior,26-04-2020,7:00,23:59,,,,,,
CIF Fitness,26-04-2020,7:00,23:59,,,,,,
PAC Pool,27-04-2020,7:00,23:59,,,,,,
Warrior Zone,27-04-2020,7:00,23:59,,,,,,
PAC Main,27-04-2020,7:00,23:59,,,,,,
PAC Small,27-04-2020,7:00,23:59,,,,,,
PAC Studio 1,27-04-2020,7:00,23:59,,,,,,
CIF Gym 1,27-04-2020,7:00,23:59,,,,,,
CIF Gym 2,27-04-2020,7:00,23:59,,,,,,
CIF Gym 3,27-04-2020,7:00,23:59,,,,,,
Indoor Field A,27-04-2020,7:00,23:59,,,,,,
Indoor Field B,27-04-2020,7:00,23:59,,,,,,
Indoor Field C,27-04-2020,7:00,23:59,,,,,,
CIF Arena,27-04-2020,7:00,23:59,,,,,,
CIF Warrior,27-04-2020,7:00,23:59,,,,,,
CIF Fitness,27-04-2020,7:00,23:59,,,,,,
PAC Pool,28-04-2020,7:00,23:59,,,,,,
Warrior Zone,28-04-2020,7:00,23:59,,,,,,
PAC Main,28-04-2020,7:00,23:59,,,,,,
PAC Small,28-04-2020,7:00,23:59,,,,,,
PAC Studio 1,28-04-2020,7:00,23:59,,,,,,
CIF Gym 1,28-04-2020,7:00,23:59,,,,,,
CIF Gym 2,28-04-2020,7:00,23:59,,,,,,
CIF Gym 3,28-04-2020,7:00,23:59,,,,,,
Indoor Field A,28-04-2020,7:00,23:59,,,,,,
Indoor Field B,28-04-2020,7:00,23:59,,,,,,
Indoor Field C,28-04-2020,7:00,23:59,,,,,,
CIF Arena,28-04-2020,7:00,23:59,,,,,,
CIF Warrior,28-04-2020,7:00,23:59,,,,,,
CIF Fitness,28-04-2020,7:00,23:59,,,,,,
PAC Pool,29-04-2020,7:00,23:59,,,,,,
Warrior Zone,29-04-2020,7:00,23:59,,,,,,
PAC Main,29-04-2020,7:00,23:59,,,,,,
PAC Small,29-04-2020,7:00,23:59,,,,,,
PAC Studio 1,29-04-2020,7:00,23:59,,,,,,
CIF Gym 1,29-04-2020,7:00,23:59,,,,,,
CIF Gym 2,29-04-2020,7:00,23:59,,,,,,
CIF Gym 3,29-04-2020,7:00,23:59,,,,,,
Indoor Field A,29-04-2020,7:00,23:59,,,,,,
Indoor Field B,29-04-2020,7:00,23:59,,,,,,
Indoor Field C,29-04-2020,7:00,23:59,,,,,,
CIF Arena,29-04-2020,7:00,23:59,,,,,,
CIF Warrior,29-04-2020,7:00,23:59,,,,,,
CIF Fitness,29-04-2020,7:00,23:59,,,,,,
PAC Pool,30-04-2020,7:00,23:59,,,,,,
Warrior Zone,30-04-2020,7:00,23:59,,,,,,
PAC Main,30-04-2020,7:00,23:59,,,,,,
PAC Small,30-04-2020,7:00,23:59,,,,,,
PAC Studio 1,30-04-2020,7:00,23:59,,,,,,
CIF Gym 1,30-04-2020,7:00,23:59,,,,,,
CIF Gym 2,30-04-2020,7:00,23:59,,,,,,
CIF Gym 3,30-04-2020,7:00,23:59,,,,,,
Indoor Field A,30-04-2020,7:00,23:59,,,,,,
Indoor Field B,30-04-2020,7:00,23:59,,,,,,
Indoor Field C,30-04-2020,7:00,23:59,,,,,,
CIF Arena,30-04-2020,7:00,23:59,,,,,,
